date,price,volume
2014-09-20 00:00:00:000,194,0
2014-09-21 00:00:00:000,194,0
2014-09-22 00:00:00:000,193.11,3317960
2014-09-23 00:00:00:000,191.62,3301800
2014-09-24 00:00:00:000,192.31,3082590
2014-10-11 00:00:00:000,185.93,0
2014-10-12 00:00:00:000,185.93,0
2014-10-13 00:00:00:000,183.52,3599920
2014-10-14 00:00:00:000,183.8,3924970
2014-10-15 00:00:00:000,181.75,6897660
2014-10-16 00:00:00:000,179.84,5578680
2014-10-17 00:00:00:000,182.05,4354440
2014-10-18 00:00:00:000,182.05,0
2014-10-19 00:00:00:000,182.05,0
2014-10-20 00:00:00:000,169.1,23416500
2014-10-21 00:00:00:000,163.23,20953600
2014-10-22 00:00:00:000,161.79,11091400
2014-10-23 00:00:00:000,162.18,7600270
2014-10-24 00:00:00:000,162.08,6652380
2014-10-25 00:00:00:000,162.08,0
2014-10-26 00:00:00:000,162.08,0
2014-10-27 00:00:00:000,161.87,4989440
2014-10-28 00:00:00:000,163.6,7896860
2014-10-29 00:00:00:000,163.46,4741690
2014-10-30 00:00:00:000,164.35,3895980
2014-10-31 00:00:00:000,164.4,5818380
2014-11-01 00:00:00:000,164.4,0
2014-11-02 00:00:00:000,164.4,0
2014-11-03 00:00:00:000,164.36,4690270
2014-11-04 00:00:00:000,162.65,4247080
2014-11-05 00:00:00:000,161.82,4104750
2014-11-06 00:00:00:000,161.46,4067640
2014-11-07 00:00:00:000,162.07,3494800
2014-11-08 00:00:00:000,162.07,0
2014-11-09 00:00:00:000,162.07,0
2014-11-10 00:00:00:000,163.49,4958240
2014-11-11 00:00:00:000,163.3,3535690
2014-11-12 00:00:00:000,161.92,3378230
2014-11-13 00:00:00:000,162.79,3239730
2014-11-14 00:00:00:000,164.16,4978420
2014-12-03 00:00:00:000,164.52,6434990
2014-12-07 00:00:00:000,163.27,0
2014-12-08 00:00:00:000,161.86,2851380
2014-12-09 00:00:00:000,162.99,3865900
2014-12-10 00:00:00:000,160.51,4082380
2014-12-11 00:00:00:000,161.07,3989570
2014-12-12 00:00:00:000,155.38,8611750
2014-12-13 00:00:00:000,155.38,0
2014-12-17 00:00:00:000,151.93,5139460
2014-12-18 00:00:00:000,157.68,7302360
2014-12-19 00:00:00:000,158.51,8864850
2014-12-20 00:00:00:000,158.51,0
2014-12-21 00:00:00:000,158.51,0
2014-12-24 00:00:00:000,161.82,1869980
2015-01-21 00:00:00:000,158.51,0
2015-02-25 00:00:00:000,170.81,4004560
2015-02-26 00:00:00:000,182.87,7110770
2015-02-27 00:00:00:000,181.94,4410040
2015-03-07 00:00:00:000,170.5,0
2015-03-08 00:00:00:000,165.5,0
2015-03-18 00:00:00:000,159.81,5738830
2015-03-26 00:00:00:000,160.59,4396020
2015-03-27 00:00:00:000,163.4,3477920
