date,price,volume
2014-07-09 00:00:00:000,188.42,3309560
2014-07-10 00:00:00:000,187.7,3177820
2014-07-11 00:00:00:000,188,2403840
2014-07-12 00:00:00:000,188,0
2014-07-13 00:00:00:000,188,0
2014-07-14 00:00:00:000,189.86,4502200
2014-07-15 00:00:00:000,188.49,4873450
2014-07-16 00:00:00:000,192.36,7815650
2014-07-17 00:00:00:000,192.49,8872270
2014-07-18 00:00:00:000,192.5,8169320
2014-07-19 00:00:00:000,192.5,0
2014-07-20 00:00:00:000,192.5,0
2014-07-21 00:00:00:000,190.85,4154740
2014-07-22 00:00:00:000,194.09,4853040
2014-07-23 00:00:00:000,193.63,3584460
2014-07-24 00:00:00:000,195.24,3612660
2014-07-25 00:00:00:000,194.4,3376460
2014-07-26 00:00:00:000,194.4,0
2014-07-27 00:00:00:000,194.4,0
2014-07-28 00:00:00:000,195.78,3242440
2014-07-29 00:00:00:000,194.57,3264410
2014-07-30 00:00:00:000,194,3945600
2014-07-31 00:00:00:000,191.67,4208000
2014-08-01 00:00:00:000,189.15,5181080
2014-08-02 00:00:00:000,189.15,0
2014-08-03 00:00:00:000,189.15,0
2014-08-04 00:00:00:000,189.64,2125940
2014-08-05 00:00:00:000,187.1,3307940
2014-08-06 00:00:00:000,185.97,3847050
2014-08-07 00:00:00:000,184.3,2708940
2014-08-08 00:00:00:000,186.63,2781940
2014-08-09 00:00:00:000,186.63,0
2014-08-10 00:00:00:000,186.63,0
2014-08-11 00:00:00:000,187.47,2527210
2014-08-12 00:00:00:000,187.34,1858640
2014-08-13 00:00:00:000,187.95,1797020
2014-08-14 00:00:00:000,187.88,1929580
2014-08-15 00:00:00:000,187.38,2815820
2014-08-16 00:00:00:000,187.38,0
2014-08-17 00:00:00:000,187.38,0
2014-08-18 00:00:00:000,189.36,2420400
2014-08-19 00:00:00:000,190.07,2040120
2014-08-20 00:00:00:000,190.1,2177700
2014-08-21 00:00:00:000,191.23,2497980
2014-08-22 00:00:00:000,190.41,1940430
2014-08-23 00:00:00:000,190.41,0
2014-08-24 00:00:00:000,190.41,0
2014-08-25 00:00:00:000,191.16,1726100
2014-08-26 00:00:00:000,192.99,3175400
2014-08-27 00:00:00:000,192.25,2190280
2014-08-28 00:00:00:000,192,1503580
2014-08-29 00:00:00:000,192.3,2911100
2014-08-30 00:00:00:000,192.3,0
2014-08-31 00:00:00:000,192.3,0
2014-09-01 00:00:00:000,192.3,0
2014-09-02 00:00:00:000,191.56,2679660
2014-09-03 00:00:00:000,191.95,1824380
2014-09-04 00:00:00:000,190.68,2868750
2014-09-05 00:00:00:000,191.2,2261220
2014-09-06 00:00:00:000,191.2,0
2014-09-07 00:00:00:000,191.2,0
2014-09-08 00:00:00:000,190.14,2525630
2014-09-09 00:00:00:000,189.99,2403630
2014-09-10 00:00:00:000,191.54,2765320
2014-09-11 00:00:00:000,191.72,2299390
2014-09-12 00:00:00:000,191.28,2900970
2014-09-13 00:00:00:000,191.28,0
2014-09-14 00:00:00:000,191.28,0
2014-09-15 00:00:00:000,191.81,2457800
2014-09-16 00:00:00:000,192.96,2561530
2014-09-17 00:00:00:000,192.8,3214120
2014-09-18 00:00:00:000,193.75,2963450
2014-09-19 00:00:00:000,194,8854510
2014-09-20 00:00:00:000,194,0
2014-09-21 00:00:00:000,194,0
2014-09-22 00:00:00:000,193.11,3317960
2014-09-23 00:00:00:000,191.62,3301800
2014-09-24 00:00:00:000,192.31,3082590
2014-09-25 00:00:00:000,189.01,4158820
2014-09-26 00:00:00:000,190.06,2494020
2014-09-27 00:00:00:000,190.06,0
2014-09-28 00:00:00:000,190.06,0
2014-09-29 00:00:00:000,189.64,2344720
2014-09-30 00:00:00:000,189.83,2932560
2014-10-01 00:00:00:000,187.17,3723190
2014-10-02 00:00:00:000,186.91,2283620
2014-10-03 00:00:00:000,188.67,3071520
2014-10-04 00:00:00:000,188.67,0
2014-10-05 00:00:00:000,188.67,0
2014-10-06 00:00:00:000,189.04,2100190
2014-10-07 00:00:00:000,185.71,2994060
2014-10-08 00:00:00:000,189.36,2985330
2014-10-09 00:00:00:000,186.42,2625610
2014-10-10 00:00:00:000,185.93,5090340
2014-10-11 00:00:00:000,185.93,0
2014-10-12 00:00:00:000,185.93,0
2014-10-13 00:00:00:000,183.52,3599920
2014-10-14 00:00:00:000,183.8,3924970
2014-10-15 00:00:00:000,181.75,6897660
2014-10-16 00:00:00:000,179.84,5578680
2014-10-17 00:00:00:000,182.05,4354440
2014-10-18 00:00:00:000,182.05,0
2014-10-19 00:00:00:000,182.05,0
2014-10-20 00:00:00:000,169.1,23416500
2014-10-21 00:00:00:000,163.23,20953600
2014-10-22 00:00:00:000,161.79,11091400
2014-10-23 00:00:00:000,162.18,7600270
2014-10-24 00:00:00:000,162.08,6652380
2014-10-25 00:00:00:000,162.08,0
2014-10-26 00:00:00:000,162.08,0
2014-10-27 00:00:00:000,161.87,4989440
2014-10-28 00:00:00:000,163.6,7896860
2014-10-29 00:00:00:000,163.46,4741690
2014-10-30 00:00:00:000,164.35,3895980
2014-10-31 00:00:00:000,164.4,5818380
2014-11-01 00:00:00:000,164.4,0
2014-11-02 00:00:00:000,164.4,0
2014-11-03 00:00:00:000,164.36,4690270
2014-11-04 00:00:00:000,162.65,4247080
2014-11-05 00:00:00:000,161.82,4104750
2014-11-06 00:00:00:000,161.46,4067640
2014-11-07 00:00:00:000,162.07,3494800
2014-11-08 00:00:00:000,162.07,0
2014-11-09 00:00:00:000,162.07,0
2014-11-10 00:00:00:000,163.49,4958240
2014-11-11 00:00:00:000,163.3,3535690
2014-11-12 00:00:00:000,161.92,3378230
2014-11-13 00:00:00:000,162.79,3239730
2014-11-14 00:00:00:000,164.16,4978420
2014-11-15 00:00:00:000,164.16,0
2014-11-16 00:00:00:000,164.16,0
2014-11-17 00:00:00:000,164.16,4798930
2014-11-18 00:00:00:000,161.89,5412500
2014-11-19 00:00:00:000,161.43,3802630
2014-11-20 00:00:00:000,160.64,4183100
2014-11-21 00:00:00:000,160.92,4076880
2014-11-22 00:00:00:000,160.92,0
2014-11-23 00:00:00:000,160.92,0
2014-11-24 00:00:00:000,162.15,6619030
2014-11-25 00:00:00:000,161.76,4062380
2014-11-26 00:00:00:000,161.95,3967220
2014-11-27 00:00:00:000,161.95,0
2014-11-28 00:00:00:000,162.17,2405510
2014-11-29 00:00:00:000,162.17,0
